"Index","Library Ref","Library Path","Footprint Ref","Footprint Path","Description","Manufacturer 1","Manufacturer Part Number 1","Location","LCSC","Digikey","Mouser","TME","JAMECO","GenericName","Package","ICtype"
"a4b2fb81-8545-4955-8392-16ea243c88d4","","","","","IC,DUALCOMPARATOR,LM393,SO8","ST","LM393","R188 TO R192","","","","","","LM393","SO8","DUALCOMPARATOR"
"956aed88-2037-43b0-864c-61e79c1f38f4","","","","","IC,TPS62110","","TPS62110","R193","","","","","","TPS62110","",""
"2d7d2317-1e80-4609-bb51-a9afc06b5185","","","","","IC,MAX6520EUR","","MAX6520EUR","R194","","","","","","MAX6520EUR","",""
"9c0e772e-d8d3-41a4-8289-464718396535","","","","","IC,MCP130T-315I/TT","","MCP130T-315I/TT","R201","","","","","","MCP130T-315I/TT","",""
"d3351b50-4b25-490c-a433-11fe490b425c","","","","","IC,LF50,DPAK","ST","LF50","R221","","","","","","LF50","DPAK",""
"53794219-c0f0-44ce-9b52-f0027e061369","","","","","IC,LT1250","","LT1250","R199","","","","","","LT1250","",""
"b03dc2af-c604-4533-a373-b0c9f30a7243","","","","","IC,MAX4550CWI","","MAX4550CWI","R208","","","","","","MAX4550CWI","",""
"ae4c0527-eadd-4569-b7d8-a8e3b5f9cc31","","","","","IC,REGULATOR,LM2598S-3.3","NATSEMI","LM2598S-3.3","R213","","","","","","LM2598S-3.3","","REGULATOR"
"c03d73ff-ec99-471c-b137-f516535bdb7c","","","","","IC,REGULATOR,LM2676S-3.3","","LM2676S-3.3","R217, R218","","","","","","LM2676S-3.3","","REGULATOR"
"51c4ca08-765b-4c16-b6e3-11accba2457b","","","","","IC,REGULATOR,LM2585S-ADJ","","LM2585S-ADJ","R219","","","","","","LM2585S-ADJ","","REGULATOR"
"5b02c022-c23e-4062-9abb-294f30cd70c4","","","","","IC,REGULATOR,LM2586S-ADJ","","LM2586S-ADJ","R220","","","","","","LM2586S-ADJ","","REGULATOR"
"2e78617e-2505-4993-8863-b66fbc06f2fe","","","","","IC,FT2232D","","FT2232D","R209","","","","","","FT2232D","",""
"83cedb79-4571-490b-b302-478fe82277ca","","","","","IC,LT1676","","LT1676","R205","","","","","","LT1676","",""
"8e05334e-2c9d-4ec1-a521-f704735bd806","","","","","IC,MAX1759EUB","","MAX1759EUB","R195","","","","","","MAX1759EUB","",""
"98e63b91-4f77-4cbb-93ed-92eb73a5942b","","","","","IC,MAX1864TEEE","","MAX1864TEEE","R196","","","","","","MAX1864TEEE","",""
"9aa1763c-ef00-43a1-b89b-40c341cc0d63","","","","","IC,NC7SZ125","ONSEMI","NC7SZ125","R197","","","","","","NC7SZ125","",""
"dbf1b694-cb56-47ae-ad1f-9c5b7130568c","","","","","IC,MAX1795EUA","","MAX1795EUA","R198","","","","","","MAX1795EUA","",""
"76ddf797-1c1d-4f14-b176-b1ba73486d5c","","","","","IC,MAX4360EAX","","MAX4360EAX","R204","","","","","","MAX4360EAX","",""
"77ab8341-210d-4791-9344-e1e8edb44dda","","","","","IC,MEMORY,MICROWIRE,93C46","ST","93C46","R206","","","","","","93C46","","MEMORY,MICROWIRE"
"98a245c9-6960-4f9c-8d84-673231e891fa","","","","","IC,MEMORY,MICROWIRE,93LC46B","MICROCHIP","93LC46B","R203","","","","","","93LC46B","","MEMORY,MICROWIRE"
"2170b596-fa91-437b-9164-baf3a17b2120","","","","","IC,MAX1865T","","MAX1865T","R207","","","","","","MAX1865T","",""
"0ce07fa6-8302-4cc0-8770-c22356656dff","","","","","IC,REGULATOR,LM2597M-ADJ","","LM2597M-ADJ","R224","","","","","","LM2597M-ADJ","","REGULATOR"
"a6240229-8279-4169-8a5b-d3ad3e0562ad","","","","","IC,REGULATOR,LM2594M-ADJ","","LM2594M-ADJ","R222","","","","","","LM2594M-ADJ","","REGULATOR"
"23b9f5be-58a8-4cf5-867c-b18030f5fa4b","","","","","IC,REGULATOR,LM2597M-3.3","","LM2597M-3.3","R223","","","","","","LM2597M-3.3","","REGULATOR"
"0fa62659-4aff-49e1-813f-574b497fa67a","","","","","IC,MAX1856EUB","","MAX1856EUB","R200","","","","","","MAX1856EUB","",""
"54d8377e-c033-4cb1-9bd8-5fb77241507b","","","","","IC,MAX1848,SOT28","","MAX1848","R202","","","","","","MAX1848","SOT28",""
"8bd4323b-6ab2-40dd-86a8-c59b62fdf568","","","","","IC,REGULATOR,LD2980-3.3","","LD2980-3.3","R215","","","","","","LD2980-3.3","","REGULATOR"
"0b4cdc7d-50c0-4263-8938-7f8d0ebb8150","","","","","IC,MAX3232,SO16","","MAX3232","R275 - R288","","","","","","MAX3232","SO16",""
"2b58bb88-53c4-4a9c-b1bd-3e8cb64b716b","","","","","IC,MAX458","","MAX458","R268","","","","","","MAX458","",""
"3f5dd479-c824-4a00-a224-778ef97b3028","","","","","IC,MAX456","","MAX456","R272","","","","","","MAX456","",""
"60bbb94d-e6f2-4521-a0c0-14affdb2b425","","","","","IC,ULN2803,SO18W","","ULN2803","R271","","","","","","ULN2803","SO18W",""
"10a8db77-42aa-46dc-8be5-09dd466f7bd7","","","","","IC,DS1666S-010","","DS1666S-010","R273","","","","","","DS1666S-010","",""
"227d4d0f-8f8b-4a66-8776-10ab723773c3","","","","","IC,MAX496CPE,DIP16","","MAX496CPE","R266","","","","","","MAX496CPE","DIP16",""
"0d422ece-0801-4262-9c0c-5d84e6851503","","","","","IC,MAX552CPA,DIP8","","MAX552CPA","R269","","","","","","MAX552CPA","DIP8",""
"e082dfbb-9b64-4948-8498-817b958cf166","","","","","IC,MAX497","","MAX497","R274","","","","","","MAX497","",""
"b7c4d784-ad91-444d-9b82-b2657f65ee94","","","","","IC,MAX4169ESD","","MAX4169ESD","R262","","","","","","MAX4169ESD","",""
"c5f6ef1e-fdb7-43c5-91ff-6b259f3ef22d","","","","","IC,MAX4168ESD","","MAX4168ESD","R270","","","","","","MAX4168ESD","",""
"314d142c-a6d9-4e58-93ce-7f756e7d2dac","","","","","IC,LTC1386CS","","LTC1386CS","R260","","","","","","LTC1386CS","",""
"eb8b3bc0-59bc-471d-a228-14f333b4a205","","","","","IC,MAX708RESA,SO8","","MAX708RESA","R264, R263, R261, R259","","","","","","MAX708RESA","SO8",""
"73356c63-4a58-4eb3-9df6-188984ddb8c6","","","","","IC,OPAMP,SINGLE,741C,SO8","SGS","741C","R257","","","","","","741C","SO8","OPAMP,SINGLE"
"b7816915-12fd-4b58-94fa-a83912368b56","","","","","IC,QUADCOMPARATOR,LM339,SO14","TI","LM339","R258","","","","","","LM339","SO14","QUADCOMPARATOR"
"bb4a2b53-fe72-4563-a723-7b85fffa5d5a","","","","","IC,MAX232,SO16","","MAX232","R265","","","","","","MAX232","SO16",""
"96aa5a06-971f-494d-a34c-1d133665f505","","","","","IC,MAX7428,SOT28","","MAX7428","R267","","","","","","MAX7428","SOT28",""
