"Index","Library Ref","Library Path","Footprint Ref","Footprint Path","Description","Manufacturer 1","Manufacturer Part Number 1","Location","LCSC","Digikey","Mouser","TME","JAMECO","GenericName","Package","ICtype","Mounting"
"b2c8d8a3-46f5-4466-9e61-1fe59fb741da","","","","","IC,MICROCONTROLLER,8-BIT,ATMEGA2560","","ATMEGA2560","A0276","","","","","","ATMEGA2560","","MICROCONTROLLER,8-BIT",""
"4a6d4c1b-e4a5-437b-8d3a-ef9ec10558ae","","","","","IC,AM27C2048,DIP40UV","","AM27C2048","A0668","","","","","","AM27C2048","DIP40UV","",""
"6b77ca61-ead5-4138-895e-1880c7031952","","","","","IC,I2C,EEPROM,AT24C16,DIP8","","AT24C16","A0634","","","","","","AT24C16","DIP8","I2C,EEPROM",""
"59156f58-230d-4987-88cf-76c5a3f0d405","","","","","IC,24C16,DIP8,TH","NATIONAL","24C16","A0641","","","","","","24C16","DIP8","","TH"
"4cd575b3-a2e3-4188-bc06-580e443e2118","","","","","IC,REGULATOR,LINEAR,NEGATIVE,8V,MC7908,TO220","","MC7908","A0653","","","","","","MC7908","TO220","REGULATOR,LINEAR,NEGATIVE,8V",""
"926e1e25-5d11-438c-a1b7-49cf045f949a","","","","","IC,LM337LZ,TO92","","LM337LZ","A0667","","","","","","LM337LZ","TO92","",""
"1a2e58f6-bd2a-40aa-a185-95fd0602cb06","","","","","IC,PCA5555,TSSOP","","PCA5555","R609","","","","","","PCA5555","TSSOP","",""
"5c5b604d-566d-4a89-bc42-14cf1d7143b8","","","","","IC,LF18CDT,DPAK","","LF18CDT","R610","","","","","","LF18CDT","DPAK","",""
"d62af787-0716-4405-b88f-55f7f9a4fa48","","","","","IC,FT232RL","","FT232RL","R617","","","","","","FT232RL","","",""
"9438d10a-bfdc-47ab-bc40-71e889b086e2","","","","","IC,74AHCT594,TSSOP,SMD","","74AHCT594","R621","","","","","","74AHCT594","TSSOP","","SMD"
"af90d040-958b-4d24-a34f-08da840de485","","","","","IC,74V1G125,SOT25,SMD","","74V1G125","R626","","","","","","74V1G125","SOT25","","SMD"
"b21a3450-cf43-4281-ba33-c3c58124d6b0","","","","","IC,24LC128,SO8,SMD","","24LC128","R637","","","","","","24LC128","SO8","","SMD"
"5d74f693-94a3-45c0-9a38-031993c1bd57","","","","","IC,TPS62110,QFN","","TPS62110","R629","","","","","","TPS62110","QFN","",""
"7dc26d57-3a95-4299-8ae9-404aeb5b4945","","","","","IC,TEA6425,SO","","TEA6425","R638","","","","","","TEA6425","SO","",""
"e347ceb4-fc86-40e3-b597-dfd1f40f784f","","","","","IC,FT4232HL,TQF","","FT4232HL","R632","","","","","","FT4232HL","TQF","",""
"8a504531-a07d-4bfa-a0a2-292b7872be07","","","","","IC,IL207AT","","IL207AT","R618","","","","","","IL207AT","","",""
"7ef631ec-04a8-48a5-994d-f00dc5fe5d9f","","","","","IC,MEMORY,PARALLEL,FLASH,AT42QT2160,QFN","","AT42QT2160","R627","","","","","","AT42QT2160","QFN","MEMORY,PARALLEL,FLASH",""
"72643602-4a1e-4bac-9e39-9628a7c9d8f4","","","","","IC,AD706,SO8,SMD","","AD706","R633, R608","","","","","","AD706","SO8","","SMD"
"fee2504b-77c2-420f-b536-a381034e96da","","","","","IC,SPV1040,TSSOP8","","SPV1040","R640","","","","","","SPV1040","TSSOP8","",""
"2456db2b-1de0-460d-8860-68db57630079","","","","","IC,ADG409BR,SO","","ADG409BR","R635","","","","","","ADG409BR","SO","",""
"5e313a5a-e663-4790-a38f-5e6cc39651f8","","","","","IC,ACPL247-500,SO,SMD","","ACPL247-500","R636","","","","","","ACPL247-500","SO","","SMD"
"44348291-3fc2-403f-b55d-ca40287efad3","","","","","IC,LOGIC,SINGLEGATE,AND2,74V1G08STR,SMD","ST","74V1G08STR","R677","","","","","","74V1G08STR","","LOGIC,SINGLEGATE,AND2","SMD"
"a13167bf-b329-4d5f-9277-f96f8245a330","","","","","IC,LOGIC,HEX INVERTER,SCHMITTTRIGGER,74HC14,SO14,SMD","","74HC14","R681","","","","","","74HC14","SO14","LOGIC,HEX INVERTER,SCHMITTTRIGGER","SMD"
"65c922b3-24a5-48ba-a2b5-aaa726862d7e","","","","","IC,LM4510SD","","LM4510SD","R685","","","","","","LM4510SD","","",""
"54e9adb3-e889-4704-9d79-c284be4ee918","","","","","IC,BZX84C5V1LT1","","BZX84C5V1LT1","R689","","","","","","BZX84C5V1LT1","","",""
"c2816e8b-86d1-4784-8b3e-481f779a99ae","","","","","IC,ST3222","","ST3222","R693","","","","","","ST3222","","",""
"fe253e5f-070a-4706-b1e9-fc5273444aa0","","","","","IC,I2C,EEPROM,CAT24C32WI-6T3","","CAT24C32WI-6T3","R697","","","","","","CAT24C32WI-6T3","","I2C,EEPROM",""
"e5a4ae76-de2d-432b-886f-52441d805e0f","","","","","IC,AD705JR,SO8,SMD","","AD705JR","R674","","","","","","AD705JR","SO8","","SMD"
"79db9b76-34b5-4517-a0a6-c64b8f589c91","","","","","IC,I2C,LED DRIVER,SAA1064,SO","","SAA1064","R698","","","","","","SAA1064","SO","I2C,LED DRIVER",""
"a0c89577-d8d4-46bc-bb4f-183ad7eb7272","","","","","IC,74V283,TQFP,SMD","TI","74V283","R702","","","","","","74V283","TQFP","","SMD"
"d7cd9f92-cd30-4258-a981-fed10ff20576","","","","","IC,LOGIC,SINGLEGATE,NOR2,74V1G02STR,SMD","","74V1G02STR","R675","","","","","","74V1G02STR","","LOGIC,SINGLEGATE,NOR2","SMD"
"a6d6c248-c31f-4a67-9ab0-cd7c6901b23c","","","","","IC,STCF02PNR","","STCF02PNR","R691","","","","","","STCF02PNR","","",""
"b91d93e3-34e1-418a-8cdb-6e89a0876911","","","","","IC,SN74LVC244APWR","","SN74LVC244APWR","R695","","","","","","SN74LVC244APWR","","",""
"95a54b8d-599c-4948-9d0a-c2bde8668fce","","","","","IC,M24128-BRMN6TP","","M24128-BRMN6TP","R669","","","","","","M24128-BRMN6TP","","",""
"ce0d53bc-c51c-4299-98dc-e1f7cb310905","","","","","IC,MM5450YV","","MM5450YV","R703","","","","","","MM5450YV","","",""
"427154d8-d982-4024-9a39-ca5cad5b7e86","","","","","IC,PCA9554,SO","","PCA9554","R676","","","","","","PCA9554","SO","",""
"a31b1180-b927-4ce4-b5d8-f7b7aae8bcae","","","","","IC,MAX4212EUK+TCT","","MAX4212EUK+TCT","R696","","","","","","MAX4212EUK+TCT","","",""
"d5bd6db7-2e87-4ee0-bfed-bbf88268c586","","","","","IC,AD9850","","AD9850","R709","","","","","","AD9850","","",""
"2ae0cfe5-a376-480a-9d39-eb78adfcef64","","","","","IC,LOGIC,QUAD,NAND2,74LCX00,SMD","","74LCX00","R717","","","","","","74LCX00","","LOGIC,QUAD,NAND2","SMD"
"35fcbbfe-69fd-46bc-abb3-a96c251d9b20","","","","","IC,M25P80-VMW6","","M25P80-VMW6","R725","","","","","","M25P80-VMW6","","",""
