"ID","Description","Library Ref","Library Path","Footprint Ref","Footprint Path","Manufacturer","Manufacturer PartNo","Package","AEC-Q","Resistance","Tempco","Voltage","RESType","Supplier","Supplier PartNo","Tolerance","Wattage","Location"
223,,,,,,,,,,"8M2",,,,,,,,
224,,,,,,,,,,"9M1",,,,,,,,
225,,,,,,,,,,"10M",,,,,,,,
226,"RES, TH, 100K, 0.1%, 1/4W, METALFILM","RESFILM",".\SCHLIB\PASSIVES.SCHLIB","RESTH025",,,,"RTH1/4W",,"100K",,,"METALFILM",,,"0.1%","1/4W","A0080"
227,"RES, TH, 1K, 0.1%, 1/4W, METALFILM","RESFILM",".\SCHLIB\PASSIVES.SCHLIB","RESTH025",,,,"RTH1/4W",,"1K",,,"METALFILM",,,"0.1%","1/4W","A0081"
228,"RES, TH, 10M, 0.1%, 1/4W, METALFILM","RESFILM",".\SCHLIB\PASSIVES.SCHLIB","RESTH025",,,,"RTH1/4W",,"10M",,,"METALFILM",,,"0.1%","1/4W","A0082"
229,"RES, TH, 200K, 0.1%, 1/4W, METALFILM","RESFILM",".\SCHLIB\PASSIVES.SCHLIB","RESTH025",,,,"RTH1/4W",,"200K",,,"METALFILM",,,"0.1%","1/4W","A0083"
230,"RES, TH, 10K, 0.1%, 1/4W, METALFILM","RESFILM",".\SCHLIB\PASSIVES.SCHLIB","RESTH025",,,,"RTH1/4W",,"10K",,,"METALFILM",,,"0.1%","1/4W","A0084"
231,"RES, TH, 5M, 0.1%, 1/4W, METALFILM","RESFILM",".\SCHLIB\PASSIVES.SCHLIB","RESTH025",,,,"RTH1/4W",,"5M",,,"METALFILM",,,"0.1%","1/4W","A0085"
232,"RES, TH, 20K, 0.1%, 1/4W, METALFILM","RESFILM",".\SCHLIB\PASSIVES.SCHLIB","RESTH025",,,,"RTH1/4W",,"20K",,,"METALFILM",,,"0.1%","1/4W","A0086, A0142"
233,"RES, TH, 500K, 0.1%, 1/4W, METALFILM","RESFILM",".\SCHLIB\PASSIVES.SCHLIB","RESTH025",,,,"RTH1/4W",,"500K",,,"METALFILM",,,"0.1%","1/4W","A0087"
234,"RES, TH, 20R, 0.1%, 1/4W, METALFILM","RESFILM",".\SCHLIB\PASSIVES.SCHLIB","RESTH025",,,,"RTH1/4W",,"20R",,,"METALFILM",,,"0.1%","1/4W","A0088"
235,"RES, TH, 1M, 0.1%, 1/4W, METALFILM","RESFILM",".\SCHLIB\PASSIVES.SCHLIB","RESTH025",,,,"RTH1/4W",,"1M",,,"METALFILM",,,"0.1%","1/4W","A0089"
236,"RES, TH, 2K, 0.1%, 1/4W, METALFILM","RESFILM",".\SCHLIB\PASSIVES.SCHLIB","RESTH025",,,,"RTH1/4W",,"2K",,,"METALFILM",,,"0.1%","1/4W","A0090, A0153"
237,"RES, TH, 200R, 0.1%, 1/4W, METALFILM","RESFILM",".\SCHLIB\PASSIVES.SCHLIB","RESTH025",,,,"RTH1/4W",,"200R",,,"METALFILM",,,"0.1%","1/4W","A0091"
238,"RES, TH, 2R2, 0.1%, 1/4W, METALFILM","RESFILM",".\SCHLIB\PASSIVES.SCHLIB","RESTH025",,,,"RTH1/4W",,"2R2",,,"METALFILM",,,"0.1%","1/4W","A0092"
239,,"RESWW",,,,,,"RTH3W",,"330R",,,"WW",,,"5%","3W","A0152"
240,,"RESWW",,,,,,"RTH3W",,"1K",,,"WW",,,"1%","3W","A0143"
241,,,,,,"BOURNS","PWR220T-20-R750F","TO220-2",,"0R75",,,"CERAMIC",,,"1%","20W","A0156"
242,,,,,,,"RX70-025W-1K",,,"1K",,,"FOIL",,,"0.01%","1/4W","A0075"
243,,,,,,,"RX70-025W-10K",,,"10K",,,"FOIL",,,"0.01%","1/4W","A0076"
244,,,,,,,"PWR220T-20-R100F","TO220",,"0R100",,,"CERAMIC",,,"1%","20W","A0012"
245,,,,,,"BOURNS","3262-5K","3262",,"5K",,,"TRIMMER-MT",,,,,"A0002"
