"Index","Library Ref","Library Path","Footprint Ref","Footprint Path","Description","Manufacturer 1","Manufacturer Part Number 1","Location","LCSC","Digikey","Mouser","TME","JAMECO","Package","Resistance","Tempco","Voltage","RESType","Tolerance","Wattage"
"6a32c2a2-1cd2-4a58-94dd-01445df0d289","","","","","","","","","","","","","","","5K6","","","","",""
"f90b010a-ab62-464c-9419-16816ae1f35a","","","","","","","","","","","","","","","6K2","","","","",""
"9e4bb273-d9ba-493f-a730-67677e1de2eb","","","","","","","","","","","","","","","6K8","","","","",""
"d9819322-d7de-4ea1-bf7d-e068543ab0b1","","","","","","","","","","","","","","","7K5","","","","",""
"60575912-4368-4f6f-b1f9-ae4cfddcd777","","","","","","","","","","","","","","","8K2","","","","",""
"243464cc-79c2-45bf-8222-8361e3658ce4","","","","","","","","","","","","","","","9K1","","","","",""
"1bddcf1c-f123-41a4-9e43-16e80dbab555","","","","","","","","","","","","","","","10K","","","","",""
"8333d652-e6d2-47ab-a8e8-994c29d80778","","","","","","","","","","","","","","","11K","","","","",""
"01b6fe4b-feb7-4334-8f83-0f9da1240d04","","","","","","","","","","","","","","","12K","","","","",""
"6331a068-6f3a-4d67-b8ca-6f9f07323a65","","","","","","","","","","","","","","","13K","","","","",""
"811c8a78-560b-4b60-819d-6a804fa62f76","","","","","","","","","","","","","","","15K","","","","",""
"d9885dc2-4981-4cff-87b3-154d1e4a99c8","","","","","","","","","","","","","","","16K","","","","",""
"8cc4e888-8854-4820-81ce-78ce80b14e40","","","","","","","","","","","","","","","18K","","","","",""
"07f1ea34-619f-4b6a-b6bd-71253c424891","","","","","","","","","","","","","","","20K","","","","",""
"42a51fe2-4735-4aee-9ede-333c67bb3600","","","","","","","","","","","","","","","22K","","","","",""
"37b70b27-1160-471e-b525-1c043de92d30","","","","","","","","","","","","","","","24K","","","","",""
"ee799290-4e66-4f39-b3a0-c33403a3a35c","","","","","","","","","","","","","","","27K","","","","",""
"fa9037aa-494a-466e-8b4e-5994b9049192","","","","","","","","","","","","","","","30K","","","","",""
"b23644f1-d483-4ff7-8ea4-70311db85e0f","","","","","","","","","","","","","","","33K","","","","",""
"9d8c6cf8-bcc5-423d-8e55-ca17b0a73788","","","","","","","","","","","","","","","36K","","","","",""
"5bed2ba9-67d4-46b9-9741-ae94b8902fac","","","","","","","","","","","","","","","39K","","","","",""
"9c3b4fd1-cfd6-4f3a-a29a-aa5b96a2bd28","","","","","","","","","","","","","","","43K","","","","",""
"f5f0c872-0938-4275-a733-5c4198a8aa1f","","","","","","","","","","","","","","","47K","","","","",""
"98a06e3f-5d3e-486c-be50-9709c6a4946e","","","","","","","","","","","","","","","51K","","","","",""
"1644585d-f0db-4482-817a-f895c4ac52b1","","","","","","","","","","","","","","","56K","","","","",""
"e40e04b4-d4c9-4fb7-8ce0-bc900f2fb032","","","","","","","","A1476","","","","","","TH","62K","","","FILM","1%","2W"
"c9a66ba9-3177-4d9f-912d-87f8a43c9c23","","","","","","","","","","","","","","","68K","","","","",""
"3a95cb8c-703d-4cae-b097-9c26f703544a","","","","","","","","","","","","","","","75K","","","","",""
"65a47307-baba-4b6e-b96f-4b1b4bcab8c7","","","","","","","","A1475","","","","","","TH","82K","","","FILM","1%","2W"
"82be060d-2cdf-423a-bbc5-180c07eb621b","","","","","","","","","","","","","","","91K","","","","",""
"4c71dc0f-9faf-47a8-a225-5faacc4cf77a","","","","","","","","","","","","","","","100K","","","","",""
"aede74c7-7618-4f07-a078-861b60fdc553","","","","","","","","","","","","","","","110K","","","","",""
"38b4bc70-df54-4780-b1b0-b8e27106865c","","","","","","","","","","","","","","","120K","","","","",""
"5a5cd94f-3cac-4cba-a037-f2bdafd30631","","","","","","","","","","","","","","","130K","","","","",""
"7173582b-66ce-4ad3-ade5-831cc850ea2e","","","","","","","","","","","","","","","150K","","","","",""
"5ac69ad7-7109-4eda-b5d6-4994ee6bb9d7","","","","","","","","","","","","","","","160K","","","","",""
"28c75a4e-51c7-41b3-a0b8-2a3b0fed058f","","","","","","","","A1480","","","","","","TH","180K","","","FILM","1%","2W"
"9a5b237b-930e-40b0-83e1-8b4b5aeae388","","","","","","","","A1468","","","","","","TH","200K","","","FILM","1%","2W"
"1509f37d-0b41-4df0-b163-793f21311aff","","","","","","","","A1478","","","","","","TH","220K","","","FILM","1%","2W"
"5b889e4f-0c3c-476f-8b21-7ef03be8078f","","","","","","","","A1474","","","","","","TH","240K","","","FILM","1%","2W"
"710a43e2-5bd5-4a26-bb88-f6e24c9f666b","","","","","","","","","","","","","","","270K","","","","",""
